[x] https://www.marcus.com/.server-status/ Forbidden
[x] https://www.marcus.com/.settings.php.swp Forbidden
[x] https://www.marcus.com/.ssh Forbidden
[x] https://www.marcus.com/.ssh/authorized_keys Forbidden
[x] https://www.marcus.com/.ssh/id_dsa Forbidden
[x] https://www.marcus.com/.ssh/id_rsa Forbidden
[x] https://www.marcus.com/.svn/ Forbidden
[x] https://www.marcus.com/.svn/all-wcprops Forbidden
[x] https://www.marcus.com/.svn/entries Forbidden
[x] https://www.marcus.com/.svn/pristine/ Forbidden
[x] https://www.marcus.com/.svn/prop-base/ Forbidden
[x] https://www.marcus.com/.svn/props/ Forbidden
[x] https://www.marcus.com/.svn/text-base/ Forbidden
[x] https://www.marcus.com/.svn/text-base/index.php.svn-base Forbidden
[x] https://www.marcus.com/.svn/tmp/ Forbidden
[x] https://www.marcus.com/.bzr/ Forbidden
[x] https://www.marcus.com/.swp Forbidden
[x] https://www.marcus.com/.temp Forbidden
[x] https://www.marcus.com/.tmp Forbidden
[x] https://www.marcus.com/.viminfo Forbidden
[x] https://www.marcus.com/.wp-config.php.swp Forbidden
[x] https://www.marcus.com/log/error.log Forbidden
[x] https://www.marcus.com/log/www-error.log Forbidden
[x] https://www.marcus.com/logs/error.log Forbidden
[x] https://www.marcus.com/logs/www-error.log Forbidden
[x] https://www.marcus.com/php-fpm/error.log Forbidden
[x] https://www.marcus.com/php-fpm/www-error.log Forbidden
[x] https://www.marcus.com/_.htpasswd Forbidden
[x] https://www.marcus.com/_config.inc Forbidden
[x] https://www.marcus.com/_log/error.log Forbidden
[x] https://www.marcus.com/_logs/error.log Forbidden
[x] https://www.marcus.com/_phpmyadmin Forbidden
[x] https://www.marcus.com/admin.html.php Forbidden
[x] https://www.marcus.com/admin.old Forbidden
[x] https://www.marcus.com/admin/.htaccess Forbidden
[x] https://www.marcus.com/admin/_logs/error.log Forbidden
[x] https://www.marcus.com/admin/error.log Forbidden
[x] https://www.marcus.com/admin/logs/error.log Forbidden
[x] https://www.marcus.com/admin_web Forbidden
[x] https://www.marcus.com/adminB Forbidden
[x] https://www.marcus.com/administrator.html Forbidden
[x] https://www.marcus.com/administrator/.htaccess Forbidden
[x] https://www.marcus.com/apache/logs/error.log Forbidden
[x] https://www.marcus.com/api-docs Forbidden
[x] https://www.marcus.com/store/hours/time-slots Forbidden
[x] https://www.marcus.com/work-stopping/maternity Forbidden
[x] https://www.marcus.com/app/.htaccess Forbidden
[x] https://www.marcus.com/app/etc/local.xml.bak Forbidden
[x] https://www.marcus.com/authorized_keys Forbidden
[x] https://www.marcus.com/backup.inc.old Forbidden
[x] https://www.marcus.com/backup.old Forbidden
[x] https://www.marcus.com/backup.sql.old Forbidden
[x] https://www.marcus.com/backups.inc.old Forbidden
[x] https://www.marcus.com/backups.old Forbidden
[x] https://www.marcus.com/backups.sql.old Forbidden
[+] https://www.marcus.com/BingSiteAuth.xml
[x] https://www.marcus.com/bitrix/error.log Forbidden
[x] https://www.marcus.com/bitrix/modules/error.log Forbidden
[x] https://www.marcus.com/bitrix/modules/error.log.old Forbidden
[x] https://www.marcus.com/bitrix/web.config Forbidden
[x] https://www.marcus.com/cgi/account/ Forbidden
[x] https://www.marcus.com/cms/Web.config Forbidden
[x] https://www.marcus.com/composer.phar Forbidden
[x] https://www.marcus.com/config.bak Forbidden
[x] https://www.marcus.com/config.inc Forbidden
[x] https://www.marcus.com/config.inc.old Forbidden
[x] https://www.marcus.com/config.inc.bak Forbidden
[x] https://www.marcus.com/config.ini.bak Forbidden
[x] https://www.marcus.com/config.ini.old Forbidden
[x] https://www.marcus.com/config.old Forbidden
[x] https://www.marcus.com/config.php.bak Forbidden
[x] https://www.marcus.com/config.php.old Forbidden
[x] https://www.marcus.com/config.php.swp Forbidden
[x] https://www.marcus.com/configuration.php.bak Forbidden
[x] https://www.marcus.com/configuration.php.old Forbidden
[x] https://www.marcus.com/configuration.php.swp Forbidden
[x] https://www.marcus.com/connect.inc Forbidden
[x] https://www.marcus.com/dead.letter Forbidden
[x] https://www.marcus.com/dump.inc.old Forbidden
[x] https://www.marcus.com/dump.old Forbidden
[x] https://www.marcus.com/dump.sql.old Forbidden
[x] https://www.marcus.com/error.log Forbidden
